               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  69,              1.6097,              1.0982,              1.1969,             0.53896,             0.40542,              0.4229,             0.25674,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.6098,              1.0977,              1.1969,             0.55602,             0.39888,              0.4233,             0.25721,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,              1.6066,              1.0848,              1.1956,             0.53857,             0.40309,             0.42202,             0.25608,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,              1.6033,              1.0892,              1.1948,              0.5511,             0.40495,             0.42532,             0.25779,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.6079,               1.092,              1.1978,             0.54568,             0.40587,             0.42468,             0.25732,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,               1.596,              1.0763,              1.1915,             0.54292,             0.40593,             0.42478,             0.25861,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,               1.593,              1.0792,              1.1905,              0.5464,             0.40979,             0.42624,             0.25842,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.5903,              1.0703,              1.1947,             0.54203,             0.40737,             0.42539,             0.25843,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.5856,              1.0642,              1.1887,             0.55299,             0.40772,             0.42837,             0.26078,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.5673,              1.0513,              1.1888,             0.55237,             0.41072,             0.42978,             0.26145,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.5866,              1.0682,              1.1928,             0.54907,             0.41137,              0.4293,             0.26115,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.5734,               1.053,              1.1882,             0.55015,             0.41132,             0.42984,             0.26202,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.5827,              1.0576,              1.1868,             0.55071,             0.40943,             0.43065,             0.26207,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.5736,              1.0547,              1.1898,              0.5471,             0.41203,             0.42913,             0.26173,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
